ID,study,cushion.dominant,subordinate.species,family,association
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Anthemis cretica L. subsp. petraea (Ten.) Oberpr. et Greuter,Asteraceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Anthoxanthum odoratum L. subsp. nipponicum (Honda) Tzvelev,Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Anthyllis vulneraria L. subsp. pulchella (Vis.) Bornm.,Fabaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Apiaceae unidentified 1,Apiaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Arenaria grandiflora L. subsp. grandiflora,Caryophyllaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Armeria canescens (Host) Ebel,Plumbaginaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Artemisia umbelliformis Lam. subsp. eriantha (Ten.) Vall?s-Xirau et Oliva Bra?as,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asperula aristata L. f. subsp. oreophila (Briq.) Hayek,Rubiaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asplenium viride Huds.,,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Aster alpinus L. subsp. alpinus,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asteraceae unidentified 1,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asteraceae unidentified 2,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asteraceae unidentified 3,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asteraceae unidentified 4,Asteraceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Asteraceae unidentified 5,Asteraceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Bistorta vivipara (L.) Delarbre,Polygonaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Botrychium lunaria (L.) Sw.,Ophioglossaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Brassicacae unidentified 1,Brassicaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Brassicacae unidentified 2,Brassicaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Brassicacae unidentified 3,Brassicaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Campanula scheuchzeri Vill. subsp. scheuchzeri,Campanulaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Carduus sp. 1,Asteraceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Carex kitaibeliana Degen ex Bech. subsp. kitaibeliana,Cyperaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Cerastium thomasii Ten.,Caryophyllaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Cerastium tomentosum L.,Caryophyllaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Crepis pygmaea L. subsp. pygmaea,Asteraceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Draba aizoides L. subsp. aizoides,Brassicaceae,cushion
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Dryas octopetala L. subsp. octopetala,Rosaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Edraianthus graminifolius (L.) A. DC. subsp. graminifolius,Campanulaceae,open
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Erysimum majellense Polatschek,Brassicaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,"Festuca alfrediana Foggi et Signorini subsp. ferrariniana Foggi, Parolo et Gr. Rossi",Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,"Festuca cfr. alfrediana Foggi et Signorini subsp. ferrariniana Foggi, Parolo et Gr. Rossi",Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Festuca sp. 1,Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,"Festuca violacea Schleich. ex Gaudin subsp. italica Foggi, Gr. Rossi et Signorini",Poaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Galium magellense Ten.,Rubiaceae,both
2,doi: 10.1111/1365-2435.12596?,Silene acaulis,Gentiana lutea L. subsp. lutea,Gentianaceae,open
