County,study,cushion.dominant,association,species.name,genus,species,niche.area,AUC
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,open,Calandrinia affinis,Calandrinia,affinis,0.230325035,0.521666667
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,both,Cerastium arvense,Cerastium,arvense,0.246343535,0.644210526
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,both,Chaetanthera abellata,Chaetanthera,abellata,0.250703103,0.821382363
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,both,Hordeum comosum,Hordeum,comosum,0.25259797,0.815702479
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,both,Montopsis andicola,Montopsis,andicola,0.132235997,0.6075
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,open,Nassauvia lagascae,Nassauvia,lagascae,0.25259797,0.815702479
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,open,Olsynium scirpoideum,Olsynium,scirpoideum,0.310507417,0.493333333
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,open,Phacelia secunda,Phacelia,secunda,0.317083161,0.731843575
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,open,Pozoa coriacea,Pozoa,coriacea,0.291963524,0.33
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,both,Taraxacum officinale,Taraxacum,officinale,0.090600442,0.756
Chile,doi: 10.3170/2007-8-18332,Azorella madreporica,both,Thlaspi magellanicum,Thlaspi,magellanicum,0.240566977,0.652322404
